name	url	sku	priority
Автотовары. Запчасти для лодок и катеров. Запчасти лодочного мотора	https://www.wildberries.ru/catalog/avtotovary/zapchasti-dlya-lodok-i-katerov/zapchasti-lodochnogo-motora	0	3
Автотовары. Запчасти для лодок и катеров. Крепежи	https://www.wildberries.ru/catalog/avtotovary/zapchasti-dlya-lodok-i-katerov/krepezhi	0	4
Автотовары. Запчасти для лодок и катеров. Палубное оборудование	https://www.wildberries.ru/catalog/avtotovary/zapchasti-dlya-lodok-i-katerov/palubnoe-oborudovanie	0	3
Автотовары. Запчасти для лодок и катеров. Подшипники и вкладыши	https://www.wildberries.ru/catalog/avtotovary/zapchasti-dlya-lodok-i-katerov/podshipniki-i-vkladyshi	0	1
Автотовары. Запчасти для лодок и катеров. Поршневая группа	https://www.wildberries.ru/catalog/avtotovary/zapchasti-dlya-lodok-i-katerov/porshnevaya-gruppa	0	2
Автотовары. Запчасти для лодок и катеров. Прокладки лодочного мотора	https://www.wildberries.ru/catalog/avtotovary/zapchasti-dlya-lodok-i-katerov/prokladki-lodochnogo-motora	0	2
Автотовары. Запчасти для лодок и катеров. Редукторы	https://www.wildberries.ru/catalog/avtotovary/zapchasti-dlya-lodok-i-katerov/reduktory	0	1
Автотовары. Запчасти для лодок и катеров. Ремкомплекты	https://www.wildberries.ru/catalog/avtotovary/zapchasti-dlya-lodok-i-katerov/remkomplekty	0	1
Автотовары. Запчасти для лодок и катеров. Система зажигания	https://www.wildberries.ru/catalog/avtotovary/zapchasti-dlya-lodok-i-katerov/sistema-zazhiganiya	0	2
Автотовары. Запчасти для лодок и катеров. Система охлаждения	https://www.wildberries.ru/catalog/avtotovary/zapchasti-dlya-lodok-i-katerov/sistema-okxlazhdeniya	0	2
Автотовары. Запчасти для лодок и катеров. Топливная система	https://www.wildberries.ru/catalog/avtotovary/zapchasti-dlya-lodok-i-katerov/toplivnaya-sistema	0	2
Автотовары. Запчасти для лодок и катеров. Уплотнители	https://www.wildberries.ru/catalog/avtotovary/zapchasti-dlya-lodok-i-katerov/uplotniteli	0	2
Автотовары. Запчасти для лодок и катеров. Управление	https://www.wildberries.ru/catalog/avtotovary/zapchasti-dlya-lodok-i-katerov/upravlenie	0	1
Автотовары. Запчасти для лодок и катеров. Электрооборудование	https://www.wildberries.ru/catalog/avtotovary/zapchasti-dlya-lodok-i-katerov/elektrooborudovanie	0	4
Автотовары. Запчасти на силовую технику	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-silovuyu-tehniku	0	3
Автотовары. Запчасти. Двигатель. Газораспределение	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/dvigatel/gazoraspredelenie	0	2
Автотовары. Запчасти. Двигатель. Двигатели и комплектующие	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/dvigatel/dvigateli-i-komplektuyushchie	0	4
Автотовары. Запчасти. Двигатель. Крепежи и фиксаторы	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/dvigatel/krepezhi-i-fiksatory	0	3
